NAME,Symbol,Market Value
"CORN PRODUCTS INTERNATIONAL, INC.",CPO,"$2,011.10"
TRACTOR SUPPLY COMPANY,TSCO,"$2,009.00"
"OIL STATES INTERNATIONAL, INC.",OIS,"$2,006.40"
"FOUNDATION COAL HOLDINGS, INC.",FCL,"$2,002.80"
"STEEL DYNAMICS, INC.",STLD,"$2,000.80"
"FIRST INDUSTRIAL REALTY TRUST, INC.",FR,"$1,995.90"
"PALM, INC.",PALM,"$1,991.30"
"KOREA FUND, INC. (THE)",KF,"$1,987.60"
TELESP CELULAR PARTICIPACOES S.A.,TCP,"$1,985.20"
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ARE,"$1,984.70"
"METLIFE, INC.",MEU,"$1,980.00"
MICROSEMI CORPORATION,MSCC,"$1,973.90"
"APTARGROUP, INC.",ATR,"$1,972.90"
NATIONAL FINANCIAL PARTNERS CORPORATION,NFP,"$1,967.30"
WACOAL HOLDINGS CORPORATION,WACLY,"$1,966.20"
"NEUSTAR, INC.",NSR,"$1,963.90"
"CELESTICA, INC.",CLS,"$1,962.80"
COMPUCREDIT CORPORATION,CCRT,"$1,962.60"
"CARTER'S, INC.",CRI,"$1,960.90"
DR. REDDY'S LABORATORIES LTD,RDY,"$1,959.40"
COLUMBIA SPORTSWEAR COMPANY,COLM,"$1,954.90"
KILROY REALTY CORPORATION,KRC,"$1,954.90"
"SYBASE, INC.",SY,"$1,953.90"
REALTY INCOME CORPORATION,O,"$1,949.20"
"DILLARD'S, INC.",DDS,"$1,941.50"
COMPANIA DE TELECOMUNICACIONES DE CHILE S.A.,CTC,"$1,933.70"
FACTSET RESEARCH SYSTEMS INC.,FDS,"$1,930.20"
HEXCEL CORPORATION,HXL,"$1,927.70"
"CHENIERE ENERGY, INC.",LNG,"$1,916.50"
ASSURED GUARANTY LTD,AGO,"$1,916.00"
TORO COMPANY (THE),TTC,"$1,915.20"
"NUVEEN MUNICIPAL VALUE FUND, INC.",NUV,"$1,912.60"
"NFJ DIVIDEND, INTEREST & PREMIUM STRATEGY FUND",NFJ,"$1,911.40"
ATMEL CORPORATION,ATML,"$1,908.80"
FREMONT GENERAL CORPORATION,FMT,"$1,907.90"
ALLIANCE CAPITAL MANAGEMENT HOLDING L.P.,ACG,"$1,907.40"
VALERO LP,VLI,"$1,906.60"
LENNAR CORP,LEN/B,"$1,892.90"
SELECT SECTOR SPDR FUND - FINANCIAL,XLF,"$1,889.60"
ISHARES RUSSELL 3000 INDEX FUND,IWV,"$1,889.00"
"LINCOLN ELECTRIC HOLDINGS, INC.",LECO,"$1,871.30"
"JACK HENRY & ASSOCIATES, INC.",JKHY,"$1,867.90"
SBA COMMUNICATIONS CORPORATION,SBAC,"$1,864.20"
"SIMPSON MANUFACTURING COMPANY, INC.",SSD,"$1,863.50"
INTERNATIONAL BANCSHARES CORPORATION,IBOC,"$1,863.30"
COPENE-PETROQUIMICA DO NORDESTE,BAK,"$1,860.60"
TIMBERLAND COMPANY (THE),TBL,"$1,859.20"
ISHARES RUSSELL MIDCAP VALUE INDEX FUND,IWS,"$1,855.20"
STERIS CORPORATION,STE,"$1,845.80"
"FRIEDMAN, BILLINGS, RAMSEY GROUP, INC.",FBR,"$1,841.90"
"BEBE STORES, INC.",BEBE,"$1,840.50"
SELECT SECTOR SPDR FUND - HEALTH CARE,XLV,"$1,835.20"
"APPLEBEE'S INTERNATIONAL, INC.",APPB,"$1,828.50"
DOWNEY FINANCIAL CORPORATION,DSL,"$1,823.90"
"WORTHINGTON INDUSTRIES, INC.",WOR,"$1,821.80"
BRADY CORPORATION,BRC,"$1,815.20"
EATON VANCE CORPORATION,ETW,"$1,813.00"
NICOR INC.,GAS,"$1,806.80"
AKTIESELSKABET DAMPSKIBSSELSKABET TORM,TRMD,"$1,799.30"
"UNITED AUTO GROUP, INC.",UAG,"$1,794.50"
HOUSTON EXPLORATION COMPANY (THE),THX,"$1,794.20"
CATHAY GENERAL BANCORP,CATY,"$1,791.50"
ENCORE ACQUISITION COMPANY,EAC,"$1,784.80"
NCE PETROFUND,PTF,"$1,782.90"
"CONTINENTAL AIRLINES, INC.",CAL,"$1,778.40"
3COM CORPORATION,COMS,"$1,777.30"
REYNOLDS AND REYNOLDS COMPANY (THE),REY,"$1,771.30"
CLARCOR INC.,CLC,"$1,767.70"
"LIFEPOINT HOSPITALS, INC.",LPNT,"$1,761.30"
NUVEEN PREFERRED AND CONVERTIBLE INCOME FUND 2,JQC,"$1,761.20"
QIAGEN N.V.,QGEN,"$1,753.80"
"BISYS GROUP, INC. (THE)",BSG,"$1,750.50"
"KNIGHT TRANSPORTATION, INC.",KNX,"$1,741.10"
"LONE STAR TECHNOLOGIES, INC.",LSS,"$1,739.60"
SELECT SECTOR SPDR FUND - UTILITIES,XLU,"$1,738.80"
